Radius_km	Time_Myr	Dynamo_start_Myr	Dynamo_duration_Myr
223	1.9572538	0	0
219	1.908641	0	0
259	1.0406482	4.4876842	2.5781813
455	1.9494363	4.9567599	15.903708
297	2.0028794	4.2990074	4.9704027
499	1.8182151	5.1839604	19.512646
95	0.18279575	0	0
232	1.5875148	4.3741093	0.92681742
493	0.10831114	5.1835504	18.990377
203	0.76366639	0	0
259	1.6477447	4.485465	2.5788383
151	0.54787767	0	0
405	1.4703603	4.9603519	11.780203
212	1.1026647	0	0
41	1.5298935	0	0
470	0.18710126	5.129365	17.039516
108	1.2579215	0	0
102	1.0548848	0	0
329	0.82076597	4.7349348	6.526741
368	1.3614535	4.8567042	9.0737324
385	1.5842731	4.9048619	10.284405
458	0.79304779	5.0997248	16.035774
125	0.18501583	0	0
46	1.2564825	0	0
340	1.1419281	4.7722511	7.2121153
481	2.0294337	4.6882811	18.399681
74	1.4435006	0	0
174	1.8561051	0	0
210	1.390318	0	0
211	1.2636431	0	0
209	0.76793474	0	0
58	0.64172751	0	0
497	1.4486383	5.1906791	19.3318
155	1.426801	0	0
131	0.94760299	0	0
177	1.4453764	0	0
459	1.1768374	5.1020832	16.118614
76	1.3877614	0	0
258	1.7131566	4.4802885	2.5248232
74	1.96952	0	0
377	1.8739122	4.8387442	9.7451544
364	0.17257835	4.8446212	8.7974663
274	1.5839213	4.5443497	3.4006176
105	1.9943645	0	0
294	0.80337054	4.6181097	4.494626
384	0.3512609	4.9016485	10.211775
75	0.88586813	0	0
222	0.090108424	4.3306923	0.12309647
216	0.28664115	0	0
338	1.51877	4.7632599	7.0856743
454	1.9124484	5.0169983	15.7665
53	0.71211272	0	0
121	1.1357933	0	0
334	0.9041487	4.753231	6.8349848
133	2.0423131	0	0
26	0.085615702	0	0
64	1.3423359	0	0
213	0.79306859	0	0
225	0.92369455	4.3445559	0.38730049
419	0.1960223	4.9976091	12.867951
335	1.7480395	4.7513742	6.9014778
454	0.82044071	5.0877671	15.703131
311	1.538771	4.6772094	5.4562249
411	1.8052263	4.9663954	12.252637
292	2.0056479	4.3112049	4.6634893
126	0.26674479	0	0
200	2.0398827	0	0
269	0.71073437	4.5267034	3.1283507
491	1.2524052	5.1763253	18.819099
382	0.22771691	4.8958168	10.066584
52	0.48903349	0	0
296	1.5634618	4.6260166	4.6056061
243	0.55350202	4.4215002	1.6497235
84	0.3613525	0	0
201	0.63711566	0	0
294	1.521142	4.6169257	4.4944472
305	0.75753731	4.6548052	5.1119051
420	0.73552275	4.9998279	12.946543
153	1.1023501	0	0
478	1.5299295	5.1470799	17.714849
382	1.7003019	4.8961782	10.06782
465	0.87670308	5.1156988	16.620613
124	1.6499714	0	0
116	1.3285835	0	0
453	1.8289874	5.0682178	15.634508
301	0.11698506	4.6409626	4.8855906
274	0.26838526	4.5440974	3.400434
61	0.31121489	0	0
318	0.70562577	4.6999211	5.8652101
374	1.3443166	4.872365	9.4943447
419	0.66996455	4.9993248	12.86817
491	1.367326	5.1787376	18.819197
157	1.9553812	0	0
141	0.82606524	0	0
470	0.97421378	5.1286473	17.039692
352	0.81347388	4.8081055	7.9893713
218	1.0162117	0	0
173	0.21165694	0	0
450	1.83935	5.0599446	15.388987
104	0.78258812	0	0
380	1.4195689	4.8905234	9.922184
480	0.21506424	5.1507869	17.885092
269	1.0155493	4.5263042	3.1283107
36	0.1628702	0	0
454	1.3306566	5.0880814	15.703064
483	0.4510594	5.159759	18.139252
435	0.011808876	5.039712	14.14572
306	1.5889685	4.6606112	5.1689959
62	0.75156164	0	0
132	1.3528926	0	0
203	1.148041	0	0
453	1.2074182	5.0851531	15.620085
189	0.79361784	0	0
239	1.5786489	4.4035649	1.3988504
489	0.35564038	5.1741962	18.649395
116	0.11599679	0	0
216	0.49780387	0	0
58	1.7910016	0	0
141	1.5269021	0	0
400	0.72151512	4.9471774	11.399431
279	0.66168928	4.5626869	3.672348
457	0.76453805	5.0972219	15.952168
293	1.6842738	4.6137195	4.4402881
192	1.9458523	0	0
100	0.046631243	0	0
236	1.1560196	4.3918543	1.2026248
83	0.84460688	0	0
306	1.6201409	4.657774	5.1690626
383	1.7030864	4.8993545	10.14069
474	2.0808752	5.0378876	17.47546
111	1.1113508	0	0
220	0.57608908	0	0
121	1.0925487	0	0
407	0.17087378	4.965189	11.933554
293	2.0548198	4.6931758	4.3819795
144	0.32569382	0	0
119	1.9670817	0	0
173	0.81729656	0	0
447	1.699669	5.0712104	15.12575
225	0.29662928	4.34377	0.3877492
360	0.7460295	4.8331532	8.5246258
341	0.2607708	4.7750344	7.2756934
398	2.0703921	4.8617029	11.329074
297	1.4489219	4.6268611	4.6612725
402	0.28813553	4.9516153	11.551391
298	0.19293781	4.6306615	4.7171311
38	0.86704987	0	0
460	1.5708379	5.1036773	16.201792
397	1.5028927	4.9375463	11.17325
324	2.0608106	4.7801642	6.1760154
485	1.537362	5.1626287	18.309046
374	1.5356762	4.8743753	9.4943037
401	1.1669693	4.9515643	11.475231
185	1.419675	0	0
102	1.0887522	0	0
384	0.96488249	4.9031944	10.211761
129	1.3194983	0	0
396	0.92332399	4.9372416	11.098355
236	0.3109341	4.3934541	1.2027769
475	0.75186002	5.141088	17.461708
128	0.67547822	0	0
413	0.31655514	4.9815812	12.398146
186	1.0301851	0	0
41	0.17535713	0	0
136	1.3042108	0	0
274	1.4046283	4.5430584	3.40026
266	1.3517061	4.5147319	2.9644604
461	1.6263012	5.1043911	16.286379
423	1.1996176	5.0098004	13.184097
167	1.2205637	0	0
116	1.322859	0	0
202	1.228285	0	0
113	0.22682881	0	0
159	1.0120173	0	0
404	0.037752144	4.9569592	11.703846
437	0.33226797	5.0446782	14.307783
240	0.84141552	4.4095454	1.4626245
268	1.2254623	4.521841	3.073791
346	1.0014474	4.7887807	7.5968089
370	0.18004106	4.8611903	9.2130032
392	1.3907344	4.924819	10.799518
144	1.9615271	0	0
232	1.99666	4.1851048	0.86334085
242	1.6591052	4.4172759	1.5886059
287	0.82512742	4.5934505	4.1085815
279	0.6179207	4.5620565	3.6722012
215	0.86276418	0	0
25	1.4610947	0	0
21	0.91458982	0	0
279	0.4210335	4.5623446	3.6722403
429	0.23746459	5.023674	13.662281
24	0.65974891	0	0
151	1.5901928	0	0
170	0.030101867	0	0
253	1.709074	4.4583087	2.2420235
135	2.0346117	0	0
476	0.22538126	5.1435847	17.54644
157	0.6082595	0	0
112	1.9046224	0	0
156	1.6278694	0	0
420	0.7129162	5.0002284	12.946674
92	1.2192868	0	0
