SegmentName,Lat1,Lat2,Lon1,Lon2,Length,Spr.Rate,Spr.Azimuth,MeanDepth,Stdev.Depth,MinMaxDepth,PolygonWidth,MinDepth,MaxDepth,Boundary,SegmentName,dist2hp,hotspot
EPRR29,10.167,9.108,-104.351,-104.191,119.0436,102.5,82.46,-2590,20,88,10,-2634,-2546,PaciCoco,NA,NA,NA
EPRR3,29.634,29.848,-113.978,-113.746,32.6392,45.47,134.89,-702,105,356,10,-802,-446,PaciNoam,NA,NA,NA
EPRR30,9.059,8.393,-104.271,-104.171,74.8747,105.62,82.6,-2598,27,116,10,-2657,-2541,PaciCoco,EPRR30,1356,Socorro
EPRR31,8.41,8.336,-103.944,-103.923,8.4952,106.94,82.21,-3624,119,365,10,-3811,-3447,PaciCoco,EPRR31,1406,Socorro
EPRR32,8.396,8.338,-103.526,-103.511,6.6032,107.16,81.54,-3121,17,56,10,-3145,-3089,PaciCoco,EPRR32,1431,Socorro
EPRR33,8.426,8.012,-102.9,-102.823,46.8049,108,80.51,-2757,38,161,10,-2858,-2698,PaciCoco,EPRR33,1486,Socorro
EPRR34,8.012,7.393,-102.836,-102.691,70.6793,109.77,80.5,-2746,35,130,10,-2808,-2677,PaciCoco,EPRR34,1469,Galapagos
EPRR35,7.488,5.564,-102.797,-102.41,218.1448,113.76,80.59,-2823,64,331,10,-3014,-2684,PaciCoco,EPRR35,1382,Galapagos
EPRR36,5.61,4.906,-102.497,-102.358,79.8301,118,80.66,-2800,110,457,10,-3128,-2672,PaciCoco,NA,NA,NA
EPRR37,4.988,3.428,-102.456,-102.157,176.6438,121.45,80.75,-3060,75,357,10,-3218,-2861,PaciCoco,NA,NA,NA
EPRR38,3.495,2.18,-102.265,-102.033,148.4871,125.89,80.86,-3079,145,573,10,-3406,-2833,PaciCoco,NA,NA,NA
EPRR39,2.187,1.828,-102.07,-102.137,40.6216,128.53,80.98,-3323,166,681,10,-3686,-3005,PaciCoco,NA,NA,NA
EPRR4,27.532,27.16,-111.327,-111.594,49.0182,45.85,131.18,-1994,83,337,10,-2069,-1733,PaciNoam,NA,NA,NA
EPRR40,1.784,1.216,-102.274,-102.212,63.4971,130.04,81.28,-3052,71,282,10,-3172,-2889,PaciCoco,NA,NA,NA
EPRR41,0.715,-1.219,-102.168,-102.576,219.8061,126.46,98.26,-3040,86,352,10,-3256,-2904,NazcPaci,NA,NA,NA
EPRR42,-1.472,-2.717,-102.537,-102.723,139.9577,129.08,98.26,-3020,66,269,10,-3201,-2932,NazcPaci,NA,NA,NA
EPRR43,-2.82,-3.739,-102.502,-102.682,104.1158,130.66,98.13,-3061,78,432,10,-3366,-2934,NazcPaci,EPRR43,1232,Galapagos
EPRR44,-3.666,-4.038,-103.979,-104.059,42.3658,131.68,98.98,-3203,152,566,10,-3498,-2932,NazcPaci,NA,NA,NA
EPRR45,-4.016,-4.595,-104.53,-104.64,65.6024,132.37,99.29,-2779,61,240,10,-2948,-2708,NazcPaci,NA,NA,NA
EPRR46,-4.552,-5.305,-106.315,-106.485,85.7674,133.53,100.35,-2651,65,237,10,-2768,-2531,NazcPaci,NA,NA,NA
EPRR47,-5.256,-6.34,-106.615,-106.965,126.6108,134.66,100.5,-2795,117,427,10,-3046,-2619,NazcPaci,NA,NA,NA
EPRR48,-6.25,-6.984,-107.411,-107.59,83.9906,135.77,100.85,-2850,108,480,10,-3086,-2606,NazcPaci,EPRR48,1871,Galapagos
EPRR49,-6.99,-7.242,-107.631,-107.71,29.3891,136.37,100.9,-2813,49,224,10,-2957,-2733,NazcPaci,NA,NA,NA
EPRR5,27.099,26.952,-111.352,-111.47,20.149,46.11,130.83,-2003,38,148,10,-2039,-1890,PaciNoam,NA,NA,NA
EPRR50,-7.268,-9.135,-107.774,-108.171,212.1562,137.62,100.98,-2914,92,626,10,-3377,-2751,NazcPaci,EPRR50,1991,Galapagos
EPRR51,-8.898,-9.073,-109.67,-109.729,20.4833,138.81,101.92,-3056,117,443,10,-3340,-2897,NazcPaci,NA,NA,NA
EPRR52,-9.053,-9.657,-109.894,-110.025,68.6607,139.24,102.03,-2714,86,320,10,-2926,-2607,NazcPaci,NA,NA,NA
EPRR53,-9.656,-10.835,-110.071,-110.357,134.8297,140.17,102.1,-2733,49,204,10,-2843,-2639,NazcPaci,EPRR53,1863,Easter
EPRR54,-10.832,-11.655,-110.377,-110.603,94.7208,141.17,102.17,-2916,66,347,10,-3133,-2786,NazcPaci,NA,NA,NA
EPRR55,-11.671,-12.518,-110.686,-110.891,96.7836,142,102.27,-2681,66,343,10,-2925,-2582,NazcPaci,EPRR55,1660,Easter
